,content,characters_num,first_sentence,origin_last_3,generated_last_3
2812,致虚本无功，辐辐自一毂。天根念正微，吾以观其复。,5,致虚本无功，,辐辐自一毂。天根念正微，吾以观其复。,方能守其中。又焉用其巧，形全神遂穷。
5829,滩声留客不容归，更尽西山一寸晖。要看冰轮升紫磨，绕枝寒鹊自惊飞。,7,滩声留客不容归，,更尽西山一寸晖。要看冰轮升紫磨，绕枝寒鹊自惊飞。,白鹭飞边海燕飞。自愧虚名难复得，玉箫吹彻旧荷衣。
8329,大患都缘有此身，笑看身外假为真。梦中更作西湖梦，谁谓先生不到闽。,7,大患都缘有此身，,笑看身外假为真。梦中更作西湖梦，谁谓先生不到闽。,只今谁谓落渠频。岂知胸次浑无事，不见高车驷马尘。
6615,六月衡湘暑气蒸，幽香一喷冰人清。曾将移入浙西种，一岁才华一两茎。,7,六月衡湘暑气蒸，,幽香一喷冰人清。曾将移入浙西种，一岁才华一两茎。,晚过西岳望神京。秋色连天帆影直，黄河万里客心倾。
8686,锦苞初擘露华红，掌上寒光映月空。玉女之浆不忍咽，当年太华事相同。,7,锦苞初擘露华红，,掌上寒光映月空。玉女之浆不忍咽，当年太华事相同。,一日千回赏未穷。始信花头能却老，那知天意更藏功。
182,落落幽涧石，飘飘坠叶风。妾情无久暂，君去有西东。,5,落落幽涧石，,飘飘坠叶风。妾情无久暂，君去有西东。,娟娟青竹竿。空山晚来雨，一洗客衣寒。
2592,越公多美妓，卫尉足名姝。无计留红拂，伤心坠绿珠。,5,越公多美妓，,卫尉足名姝。无计留红拂，伤心坠绿珠。,吴客多吴娃。娇态荡还波，艳色明朝霞。
2796,窗外留书带，阶前卧绿枪。倦来抛素卷，狼藉满金床。,5,窗外留书带，,阶前卧绿枪。倦来抛素卷，狼藉满金床。,瀼西筑水营。花迎红药瘦，草逗碧芽生。
7207,永昼宫娥聚笑嬉，小王初习起居仪。朱衫御史心聪慧，学得中庭赞对词。,7,永昼宫娥聚笑嬉，,小王初习起居仪。朱衫御史心聪慧，学得中庭赞对词。,玉阶齐立笋参差。画罗不作珍珠看，自有鸳鸯舞入池。
2800,童子请缨日，老夫黄屋来。楼船何自下，麋鹿至今哀。,5,童子请缨日，,老夫黄屋来。楼船何自下，麋鹿至今哀。,将军出塞时。两军俱汗血，百战总威仪。
935,水花分堑弱，山木抱云稠。更宿招提境，还同惠远游。,5,水花分堑弱，,山木抱云稠。更宿招提境，还同惠远游。,岸草别洲长。日晚波涛急，无风自在香。
7807,白发萧萧礼部郎，风流不减贺知章。半生寒饿湖山里，八十重来坐玉堂。,7,白发萧萧礼部郎，,风流不减贺知章。半生寒饿湖山里，八十重来坐玉堂。,故园休恋稻粱荒。明朝匹马西风去，遥望吴山易断肠。
323,杳杳河洲晚，客行殊未返。目随林鸟还，心共征鸿远。,5,杳杳河洲晚，,客行殊未返。目随林鸟还，心共征鸿远。,萋萋烟草深。春风别故意，岁候起归心。
2895,春来雪有香，片片惹衣裳。么凤殷勤甚，衔来欲点妆。,5,春来雪有香，,片片惹衣裳。么凤殷勤甚，衔来欲点妆。,香暖不胜长。一任随风去，多应作雨伤。
4799,霹雳沟西路，柴荆四五家。忆曾骑款段，随意入桃花。,5,霹雳沟西路，,柴荆四五家。忆曾骑款段，随意入桃花。,人间又一春。看花成故国，阅草又新人。
6031,治道巍巍本易成，狂言安得略施行。太平事业人皆见，不计封伦死与生。,7,治道巍巍本易成，,狂言安得略施行。太平事业人皆见，不计封伦死与生。,何因于此去争衡。千年自上升平榜，万里权收造化情。
2160,梦见关山候，愁闻风雨时。羁人新荡样，月影下波迟。,5,梦见关山候，,愁闻风雨时。羁人新荡样，月影下波迟。,相逢俱旅人。空梁依弱羽，薄雪暗流津。
6466,矢尽寒原战未回，云屯万里出龙堆。前军金鼓无消息，百战旌旄拥戍台。,7,矢尽寒原战未回，,云屯万里出龙堆。前军金鼓无消息，百战旌旄拥戍台。,更堪羌笛动燕台。愁闻战鼓昏鼙鼓，直遁心兵赖酒杯。
2048,湖上望君切，江上送君苦。江上与湖上，计程一千五。,5,湖上望君切，,江上送君苦。江上与湖上，计程一千五。,枫林烟水长。扁舟下长峡，匹马度横塘。
9002,一寒未办买山赀，随处看山总可诗。人事无常山换主，青山依旧不曾移。,7,一寒未办买山赀，,随处看山总可诗。人事无常山换主，青山依旧不曾移。,却问山前有水池。何处得鱼沽酒饮，人家瓮盎已翻匙。
